Country/Region,CountryCode,Confirmed,Deaths,Recovered,Latitude,Longitude,Last Update
Mainland China,,67760,3024,47743,30.9756,112.2707,2020-03-10T15:13:05
Italy,,10149,631,724,43,12,2020-03-10T17:53:02
Iran (Islamic Republic of),,8042,291,2731,32,53,2020-03-10T19:13:20
Republic of Korea,,7513,54,247,36,128,2020-03-10T19:13:20
France,,1784,33,12,47,2,2020-03-10T18:53:02
Spain,,1695,35,32,40,-4,2020-03-10T23:53:02
Germany,,1457,2,18,51,9,2020-03-10T18:53:02
Mainland China,,1353,8,1274,23.3417,113.4244,2020-03-10T09:13:07
Mainland China,,1272,22,1247,33.882,113.614,2020-03-08T05:03:02
Mainland China,,1215,1,1191,29.1832,120.0934,2020-03-10T10:33:02
Mainland China,,1018,4,990,27.6104,111.7088,2020-03-10T08:33:02
Mainland China,,990,6,984,31.8257,117.2264,2020-03-08T05:13:06
Mainland China,,935,1,927,27.614,115.7221,2020-03-10T01:33:02
Mainland China,,758,6,719,36.3427,118.1498,2020-03-10T07:33:03
Others,,696,6,40,35.4437,139.638,2020-03-06T01:29:39
Mainland China,,631,0,627,32.9711,119.455,2020-03-10T08:13:08
Japan,,581,10,101,36,138,2020-03-10T16:13:16
Mainland China,,576,6,547,30.0572,107.874,2020-03-10T23:53:02
Mainland China,,539,3,478,30.6171,102.7103,2020-03-10T10:13:17
Switzerland,,491,3,3,46.8182,8.2275,2020-03-10T23:53:02
Mainland China,,481,13,434,47.862,127.7615,2020-03-10T00:13:18
Mainland China,,429,8,320,40.1824,116.4142,2020-03-10T01:13:07
Norway,,400,0,1,60.472,8.4689,2020-03-10T23:53:02
Netherlands,,382,4,0,52.1326,5.2913,2020-03-10T13:53:06
UK,,382,6,18,55,-3,2020-03-10T23:53:02
Sweden,,355,0,1,63,16,2020-03-10T23:53:02
Mainland China,,344,3,319,31.202,121.4491,2020-03-10T06:13:14
Mainland China,,318,6,307,38.0428,114.5149,2020-03-07T13:03:05
Mainland China,,296,1,295,26.0789,117.9874,2020-03-07T13:03:05
Belgium,,267,0,1,50.8333,4,2020-03-10T11:53:03
US,,267,23,1,47.4009,-121.4905,2020-03-10T22:13:11
Denmark,,262,0,1,56.2639,9.5018,2020-03-10T17:33:34
Mainland China,,252,2,234,23.8298,108.7881,2020-03-10T00:53:02
Mainland China,,245,1,227,35.1917,108.8701,2020-03-10T08:53:02
Austria,,182,0,4,47.5162,14.5501,2020-03-10T16:13:16
Mainland China,,174,2,170,24.974,101.487,2020-03-06T03:23:06
US,,173,0,0,42.1657,-74.9481,2020-03-10T17:13:27
Mainland China,,168,6,159,19.1959,109.7453,2020-03-08T04:33:02
Singapore,,160,0,78,1.2833,103.8333,2020-03-10T05:13:07
Mainland China,,146,2,129,26.8154,106.8748,2020-03-10T01:13:07
US,,144,2,2,36.1162,-119.6816,2020-03-10T19:13:28
Mainland China,,136,3,131,39.3054,117.323,2020-03-10T10:13:25
Mainland China,,133,0,131,37.5777,112.2922,2020-03-10T23:53:02
Malaysia,,129,0,24,2.5,112.5,2020-03-10T16:33:13
Mainland China,,125,2,88,36.0611,103.8343,2020-03-10T14:33:13
Mainland China,,125,1,111,41.2956,122.6085,2020-03-10T04:13:09
