LastUpdate,CountryCode,Country,Cases,Deaths,Recovered,Serious,Critical
2020-03-16,,China,80860,3213,67490,3032,-
2020-03-16,,Italy,24747,1809,2335,1672,-
2020-03-16,,Iran,13938,724,4590,-,-
2020-03-16,,South Korea,8236,75,1137,-,36
2020-03-16,,Spain,7844,292,517,272,-
2020-03-16,,France,5423,127,12,300,-
2020-03-16,,Germany,5813,13,46,-,2
2020-03-16,,United States,3791,65,9,60,4
2020-03-16,,United Kingdom,1372,35,18,20,-
2020-03-16,,Switzerland,2200,14,4,-,-
2020-03-16,,Netherlands,1135,20,2,-,45
2020-03-16,,Norway,1256,3,-,-,-
2020-03-16,,Sweden,1032,3,-,-,-
2020-03-16,,Belgium,886,4,1,-,-
2020-03-16,,Denmark,875,1,-,-,-
2020-03-16,,Japan,818,24,59,32,-
2020-03-16,,Austria,860,1,6,-,-
2020-03-16,,Diamond Princess,697,7,245,14,-
2020-03-16,,Malaysia,428,0,42,5,-
2020-03-16,,Qatar,401,0,4,-,-
2020-03-16,,Australia,353,5,27,-,-
2020-03-16,,Canada,336,1,11,-,1
2020-03-16,,Greece,331,4,10,5,-
2020-03-16,,Czech Republic,298,0,0,2,0
2020-03-16,,Singapore,226,0,105,-,13
2020-03-16,,Bahrain,214,0,77,-,2
2020-03-16,,Finland,241,0,1,-,-
2020-03-16,,Brazil,200,0,1,-,-
2020-03-16,,Israel,250,0,3,2,-
2020-03-16,,Slovenia,181,1,0,0,0
2020-03-16,,Ireland,169,2,,,
2020-03-16,,Portugal,169,0,,,
2020-03-16,,Iceland,161,0,-,1,-
2020-03-16,,Hong Kong,142,4,81,2,2
2020-03-16,,Egypt,126,2,27,-,-
2020-03-16,,Poland,125,3,0,2,0
2020-03-16,,Iraq,124,10,26,-,-
2020-03-16,,Romania,123,0,9,-,-
2020-03-16,,Saudi Arabia,118,0,2,,
2020-03-16,,Indonesia,117,5,5,,
2020-03-16,,Estonia,115,0,1,-,-
2020-03-16,,Thailand,114,1,35,1,-
2020-03-16,,Kuwait,112,0,9,4,-
2020-03-16,,Philippines,111,11,2,1,-
2020-03-16,,India,109,2,10,-,-
2020-03-16,,San Marino,109,7,4,11,-
2020-03-16,,Lebanon,93,3,-,-,2
2020-03-16,,United Arab Emirates,86,0,23,-,-
2020-03-16,,Peru,71,0,,,
2020-03-16,,Chile,61,0,,,
2020-03-16,,Russia,59,0,4,-,-
2020-03-16,,Taiwan,53,1,20,0,0
2020-03-16,,Luxembourg,51,1,,,
2020-03-16,,Vietnam,49,0,16,-,-
2020-03-16,,Serbia,46,0,,1,
2020-03-16,,Argentina,45,2,,,
2020-03-16,,Algeria,45,3,10,-,-
2020-03-16,,Colombia,45,0,,,
2020-03-16,,Slovakia,44,0,,,
2020-03-16,,Panama,43,1,,,
2020-03-16,,Mexico,41,1,3,1,-
2020-03-16,,Bulgaria,41,2,,,
2020-03-16,,Palestine,38,0,0,0,0
2020-03-16,,South Africa,38,0,,,
2020-03-16,,Croatia,38,0,1,-,-
2020-03-16,,Albania,38,1,,2,
2020-03-16,,Georgia,30,0,1,1,-
2020-03-16,,Pakistan,30,0,2,-,-
2020-03-16,,Hungary,30,0,0,-,-
2020-03-16,,Ecuador,28,2,-,-,1
2020-03-16,,Costa Rica,27,0,,1,
2020-03-16,,Belarus,27,0,3,-,-
2020-03-16,,Latvia,26,0,,,
2020-03-16,,Cyprus,26,0,,,
2020-03-16,,Senegal,24,0,0,-,-
2020-03-16,,Bosnia,21,0,,,
2020-03-16,,Armenia,20,0,,,
2020-03-16,,Oman,20,0,9,0,0
2020-03-16,,Afghanistan,20,0,-,-,-
2020-03-16,,Azerbaijan,19,1,3,-,-
2020-03-16,,North Macedonia,19,0,0,0,0
2020-03-16,,Tunisia,18,0,,,
2020-03-16,,Malta,18,0,1,,
2020-03-16,,Morocco,18,1,,,
2020-03-16,,Venezuela,17,0,,,
2020-03-16,,Moldova,12,0,,,
2020-03-16,,Turkey,12,0,,,
2020-03-16,,Maldives,11,0,,,
2020-03-16,,Dominican Republic,11,0,,,
2020-03-16,,Macau,10,0,6,-,-
2020-03-16,,Sri Lanka,10,0,1,-,-
2020-03-16,,Bolivia,10,,,,
2020-03-16,,Lithuania,9,0,-,-,-
2020-03-16,,Jamaica,8,0,,,
2020-03-16,,New Zealand,8,0,-,-,-
2020-03-16,,Paraguay,7,0,,1,
2020-03-16,,Cambodia,7,0,1,-,-
2020-03-16,,Jordan,6,0,1,,
2020-03-16,,Bangladesh,5,0,,,
2020-03-16,,Rwanda,5,0,,,
2020-03-16,,Uzbekistan,4,0,,,
2020-03-16,,Ethiopia,4,0,,,
2020-03-16,,Liechtenstein,4,0,,,
2020-03-16,,Ukraine,3,1,,,
2020-03-16,,Honduras,3,0,,,
2020-03-16,,Cameroon,2,0,,,
2020-03-16,,Nigeria,2,0,0,0,0
2020-03-16,,Monaco,2,0,-,-,-
2020-03-16,,Seychelles,2,0,,,
2020-03-16,,Namibia,2,0,,,
2020-03-16,,Congo Republic,1,0,,,
2020-03-16,,DR Congo,1,0,,,
2020-03-16,,Mauritania,1,0,,,
2020-03-16,,Central African Republic,1,0,,,
2020-03-16,,Togo,1,0,,,
2020-03-16,,Nepal,1,0,1,-,-
2020-03-16,,Andorra,1,0,,,
2020-03-16,,Bhutan,1,0,,,
2020-03-16,,Gibraltar,1,0,,1,
2020-03-16,,Vatican City,1,0,,,
2020-03-16,,Queue,1103,,,,
2020-03-16,,TOTAL,170021,6508,77069,5446,108
