LastUpdate,,Country,Cases,Deaths,Recovered,Serious,Critical
16/03/2020,,China,80860,3213,67490,3032,-
16/03/2020,,Italy,27980,2158,2749,1851,-
16/03/2020,,Iran,14991,853,4996,-,-
16/03/2020,,Spain,9942,342,530,432,-
16/03/2020,,South Korea,8320,81,1401,-,36
16/03/2020,,Germany,7272,17,60,-,2
16/03/2020,,France,6653,148,12,300,-
16/03/2020,,United States,4525,81,9,60,4
16/03/2020,,Switzerland,2200,14,4,-,-
16/03/2020,,United Kingdom,1543,55,18,20,-
16/03/2020,,Netherlands,1413,24,2,-,45
16/03/2020,,Norway,1256,3,-,-,-
16/03/2020,,Belgium,1085,5,1,53,-
16/03/2020,,Sweden,1032,3,-,-,-
16/03/2020,,Austria,959,1,6,-,-
16/03/2020,,Denmark,932,1,-,-,-
16/03/2020,,Japan,818,24,59,32,-
16/03/2020,,Diamond Princess,697,7,245,14,-
16/03/2020,,Malaysia,553,0,42,5,-
16/03/2020,,Qatar,401,0,4,-,-
16/03/2020,,Canada,373,4,11,-,1
16/03/2020,,Australia,383,5,27,-,-
16/03/2020,,Greece,331,4,10,5,-
16/03/2020,,Portugal,331,1,2,18,
16/03/2020,,Czech Republic,298,0,0,2,0
16/03/2020,,Israel,277,0,4,4,-
16/03/2020,,Finland,272,0,1,-,-
16/03/2020,,Brazil,234,0,1,-,-
16/03/2020,,Singapore,226,0,105,-,13
16/03/2020,,Ireland,223,2,,,
16/03/2020,,Bahrain,221,1,77,-,1
16/03/2020,,Slovenia,219,1,0,0,0
16/03/2020,,Iceland,180,0,-,1,-
16/03/2020,,Pakistan,179,0,3,-,-
16/03/2020,,Poland,177,4,0,2,0
16/03/2020,,Estonia,171,0,1,-,-
16/03/2020,,Romania,168,0,9,-,-
16/03/2020,,Egypt,166,4,27,-,-
16/03/2020,,Chile,156,0,,,
16/03/2020,,Hong Kong,149,4,81,2,2
16/03/2020,,Thailand,147,1,38,1,-
16/03/2020,,Philippines,142,12,3,1,-
16/03/2020,,Indonesia,134,5,8,,
16/03/2020,,Saudi Arabia,133,0,6,,
16/03/2020,,Iraq,133,10,26,-,-
16/03/2020,,India,130,2,13,-,-
16/03/2020,,Kuwait,112,0,9,4,-
16/03/2020,,San Marino,109,7,4,11,-
16/03/2020,,Lebanon,109,3,-,-,2
16/03/2020,,United Arab Emirates,98,0,26,-,-
16/03/2020,,Russia,93,0,4,-,-
16/03/2020,,Peru,86,0,,,
16/03/2020,,Mexico,82,0,3,-,1
16/03/2020,,Luxembourg,77,1,,,
16/03/2020,,Taiwan,67,1,20,0,0
16/03/2020,,South Africa,62,0,,,
16/03/2020,,Slovakia,61,0,,,
16/03/2020,,Algeria,60,4,10,-,-
16/03/2020,,Vietnam,57,0,16,-,-
16/03/2020,,Argentina,56,2,,,
16/03/2020,,Croatia,56,0,1,-,-
16/03/2020,,Serbia,55,0,,1,
16/03/2020,,Panama,55,1,,,
16/03/2020,,Bulgaria,51,2,,,
16/03/2020,,Brunei,50,0,,,
16/03/2020,,Turkey,47,0,,,
16/03/2020,,Colombia,45,0,,,
16/03/2020,,Albania,42,1,,2,
16/03/2020,,Palestine,38,0,0,0,0
16/03/2020,,Ecuador,37,2,-,-,1
16/03/2020,,Morocco,37,1,,,
16/03/2020,,Costa Rica,35,0,,1,
16/03/2020,,Georgia,33,0,1,1,-
16/03/2020,,Hungary,32,1,0,-,-
16/03/2020,,Cyprus,33,0,,,
16/03/2020,,Venezuela,33,0,,,
16/03/2020,,Latvia,30,0,,,
16/03/2020,,Armenia,30,0,1,,
16/03/2020,,Jordan,29,0,1,,
16/03/2020,,Uruguay,29,0,,,
16/03/2020,,Belarus,27,0,3,-,-
16/03/2020,,Senegal,27,0,0,-,-
16/03/2020,,Azerbaijan,25,1,3,-,-
16/03/2020,,Oman,24,0,9,0,0
16/03/2020,,Bosnia,24,0,,,
16/03/2020,,Moldova,23,0,,,
16/03/2020,,Afghanistan,21,0,-,-,-
16/03/2020,,Malta,21,0,2,,
16/03/2020,,Tunisia,20,0,,,
16/03/2020,,North Macedonia,19,0,0,0,0
16/03/2020,,Sri Lanka,18,0,1,-,-
16/03/2020,,Lithuania,17,0,-,-,-
16/03/2020,,Jamaica,15,0,,,
16/03/2020,,Andorra,14,0,,,
16/03/2020,,Maldives,13,0,,,
16/03/2020,,Cambodia,12,0,1,-,-
16/03/2020,,Dominican Republic,11,0,,,
16/03/2020,,Macau,11,0,6,-,-
16/03/2020,,Bolivia,10,,,,
16/03/2020,,New Zealand,10,0,-,-,-
16/03/2020,,Kazakhstan,9,0,,,
16/03/2020,,Paraguay,8,0,,1,
16/03/2020,,Bangladesh,8,0,,,
16/03/2020,,Liechtenstein,7,0,,,
16/03/2020,,Burkina Faso,7,0,,,
16/03/2020,,Rwanda,7,0,,,
16/03/2020,,Ghana,6,0,,,
16/03/2020,,Uzbekistan,6,0,,,
16/03/2020,,Honduras,6,0,,,
16/03/2020,,Guatemala,6,1,,,
16/03/2020,,Cuba,5,0,,,
16/03/2020,,Cameroon,5,0,,,
16/03/2020,,Ivory Coast,5,0,,,
16/03/2020,,Ethiopia,4,0,,,
16/03/2020,,Ukraine,3,1,,,
16/03/2020,,Seychelles,3,0,,,
16/03/2020,,DR Congo,3,0,,,
16/03/2020,,Gibraltar,3,0,1,1,
16/03/2020,,Kenya,3,0,,,
16/03/2020,,Nigeria,2,0,0,0,0
16/03/2020,,Monaco,2,0,-,-,-
16/03/2020,,Namibia,2,0,,,
16/03/2020,,Bahamas,1,0,,,
16/03/2020,,Liberia,1,0,,,
16/03/2020,,Eswatini,1,0,,,
16/03/2020,,Equatorial Guinea,1,0,,,
16/03/2020,,Gabon,1,0,,,
16/03/2020,,Congo Republic,1,0,,,
16/03/2020,,Sudan,1,0,,,
16/03/2020,,Mauritania,1,0,,,
