Country,Cases,New_cases,Deaths,New_deaths,Recovered,Last_update
United States,1025305,0,58034,0,83233,5/4/2020 9:57
Spain,210773,0,23822,0,102548,5/4/2020 9:57
Italy,201505,0,27359,0,68941,5/4/2020 9:57
France,168935,0,23660,0,37409,5/4/2020 9:57
United Kingdom,161145,0,21678,0,1918,5/4/2020 9:57
Germany,159930,0,6320,0,114142,5/4/2020 9:57
Turkey,114653,0,2992,0,38809,5/4/2020 9:57
Russia,93558,0,867,0,8456,5/4/2020 9:57
Iran,92584,0,5877,0,72439,5/4/2020 9:57
China,88423,0,4632,0,81785,5/4/2020 9:57
Brazil,71886,0,5017,0,14026,5/4/2020 9:57
Canada,49817,0,2852,0,19054,5/4/2020 9:57
Belgium,47334,0,7331,0,10943,5/4/2020 9:57
Netherlands,38416,0,4566,0,3459,5/4/2020 9:57
India,31324,0,1008,0,7747,5/4/2020 9:57
Peru,31190,0,854,0,9179,5/4/2020 9:57
Switzerland,29010,0,1699,0,15900,5/4/2020 9:57
Portugal,24322,0,948,0,1389,5/4/2020 9:57
Ecuador,24258,0,871,0,1189,5/4/2020 9:57
Saudi Arabia,20077,0,152,0,2784,5/4/2020 9:57
Ireland,19877,0,1159,0,N/A,5/4/2020 9:57
Sweden,19621,0,2355,0,N/A,5/4/2020 9:57
Israel,15589,0,208,0,7801,5/4/2020 9:57
Mexico,15529,0,1434,0,2451,5/4/2020 9:57
Austria,15314,0,569,0,12580,5/4/2020 9:57
Singapore,14951,0,14,0,1128,5/4/2020 9:57
Pakistan,14788,0,322,0,3233,5/4/2020 9:57
Chile,14365,0,207,0,7710,5/4/2020 9:57
Japan,13895,0,413,0,1069,5/4/2020 9:57
Poland,12218,0,596,0,2655,5/4/2020 9:57
Romania,11616,0,663,0,2017,5/4/2020 9:57
South Korea,10752,0,244,0,8854,5/4/2020 9:57
Denmark,7700,0,364,0,4489,5/4/2020 9:57
United Arab Emirates,7265,0,43,0,1360,5/4/2020 9:57
Norway,7112,0,165,0,N/A,5/4/2020 9:57
Czech Republic,6900,0,194,0,1559,5/4/2020 9:57
Indonesia,6760,0,590,0,747,5/4/2020 9:57
Serbia,6630,0,125,0,870,5/4/2020 9:57
Australia,6547,0,67,0,4124,5/4/2020 9:57
Philippines,6459,0,428,0,613,5/4/2020 9:57
Belarus,6264,0,51,0,514,5/4/2020 9:57
Qatar,6015,0,9,0,555,5/4/2020 9:57
Ukraine,5710,0,151,0,359,5/4/2020 9:57
Malaysia,5425,0,89,0,3295,5/4/2020 9:57
Dominican Republic,4964,0,235,0,416,5/4/2020 9:57
