LastUpdate,CountryCode,Country,Confirmed,Deaths,Recovered,NewConfirmed,NewDeaths,NewRecovered
1/21/2020,CN,China,278,0,0,0,0,0
1/21/2020,JP,Japan,1,0,0,0,0,0
1/21/2020,KR,Republic of Korea,1,0,0,0,0,0
1/21/2020,TH,Thailand,2,0,0,0,0,0
1/22/2020,CN,China,309,0,0,31,0,0
1/22/2020,JP,Japan,1,0,0,0,0,0
1/22/2020,KR,Republic of Korea,1,0,0,0,0,0
1/22/2020,TH,Thailand,2,0,0,0,0,0
1/23/2020,CN,China,571,0,0,262,0,0
1/23/2020,JP,Japan,1,0,0,0,0,0
1/23/2020,KR,Republic of Korea,1,0,0,0,0,0
1/23/2020,TH,Thailand,4,0,0,2,0,0
1/23/2020,US,United States of America,1,0,0,0,0,0
1/24/2020,CN,China,830,0,0,259,0,0
1/24/2020,JP,Japan,1,0,0,0,0,0
1/24/2020,KR,Republic of Korea,2,0,0,1,0,0
1/24/2020,SG,Singapore,1,0,0,0,0,0
1/24/2020,TH,Thailand,4,0,0,0,0,0
1/24/2020,US,United States of America,1,0,0,0,0,0
1/24/2020,VN,Viet0m,2,0,0,0,0,0
1/25/2020,AU,Australia,3,0,0,0,0,0
1/25/2020,CN,China,1297,0,0,467,0,0
1/25/2020,FR,French Republic,3,0,0,0,0,0
1/25/2020,JP,Japan,3,0,0,2,0,0
1/25/2020,NP,Nepal,1,0,0,0,0,0
1/25/2020,KR,Republic of Korea,2,0,0,0,0,0
1/25/2020,SG,Singapore,3,0,0,2,0,0
1/25/2020,TH,Thailand,4,0,0,0,0,0
1/25/2020,US,United States of America,2,0,0,1,0,0
1/25/2020,VN,Viet0m,2,0,0,0,0,0
1/26/2020,AU,Australia,4,0,0,1,0,0
1/26/2020,CN,China,1985,0,0,688,0,0
1/26/2020,FR,France,3,0,0,0,0,0
1/26/2020,JP,Japan,3,0,0,0,0,0
1/26/2020,MY,Malaysia,3,0,0,0,0,0
1/26/2020,NP,Nepal,1,0,0,0,0,0
1/26/2020,KR,Republic of Korea,2,0,0,0,0,0
1/26/2020,SG,Singapore,4,0,0,1,0,0
1/26/2020,TH,Thailand,5,0,0,1,0,0
1/26/2020,US,United States of America,2,0,0,0,0,0
1/26/2020,VN,Viet0m,2,0,0,0,0,0
1/27/2020,AU,Australia,4,0,0,0,0,0
1/27/2020,CA,Ca0da,1,0,0,0,0,0
1/27/2020,CN,China,2761,0,0,776,0,0
1/27/2020,FR,France,3,0,0,0,0,0
1/27/2020,JP,Japan,4,0,0,1,0,0
1/27/2020,MY,Malaysia,4,0,0,1,0,0
1/27/2020,NP,Nepal,1,0,0,0,0,0
1/27/2020,KR,Republic of Korea,4,0,0,2,0,0
1/27/2020,SG,Singapore,4,0,0,0,0,0
1/27/2020,TH,Thailand,5,0,0,0,0,0
1/27/2020,US,United States of America,5,0,0,3,0,0
1/27/2020,VN,Viet0m,2,0,0,0,0,0
1/28/2020,AU,Australia,5,0,0,1,0,0
1/28/2020,KH,Cambodia,1,0,0,0,0,0
1/28/2020,CA,Ca0da,2,0,0,1,0,0
1/28/2020,CN,China,4537,0,0,1776,0,0
1/28/2020,FR,France,3,0,0,0,0,0
1/28/2020,DE,Germany,1,0,0,0,0,0
1/28/2020,JP,Japan,6,0,0,2,0,0
1/28/2020,MY,Malaysia,4,0,0,0,0,0
1/28/2020,NP,Nepal,1,0,0,0,0,0
1/28/2020,KR,Republic of Korea,4,0,0,0,0,0
1/28/2020,SG,Singapore,7,0,0,3,0,0
1/28/2020,LK,Sri Lanka,1,0,0,0,0,0
1/28/2020,TH,Thailand,14,0,0,9,0,0
1/28/2020,US,United States of America,5,0,0,0,0,0
1/28/2020,VN,Viet0m,2,0,0,0,0,0
1/29/2020,AU,Australia,7,0,0,2,0,0
1/29/2020,KH,Cambodia,1,0,0,0,0,0
1/29/2020,CA,Ca0da,3,0,0,1,0,0
1/29/2020,CN,China,5997,0,0,1460,0,0
1/29/2020,FR,France,4,0,0,1,0,0
