date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_recovered,new_deaths
26/5/2020,United States,1697361,5150,352984,99462,115458,350,51643,5656
26/5/2020,Brazil,376669,1782,153833,23522,83312,394,37150,4628
26/5/2020,Russia,362342,2469,131129,3807,44788,305,38448,708
26/5/2020,United Kingdom,261184,3931,,36914,10276,154,,872
26/5/2020,Spain,235400,4998,150376,26834,2845,61,0,-1054
26/5/2020,Italy,230158,3820,141981,32877,2794,46,9699,547
26/5/2020,Germany,180789,2174,162648,8428,2258,27,5846,158
26/5/2020,Turkey,157814,1898,120015,4369,5227,63,6028,147
26/5/2020,India,145380,107,60491,4167,33021,24,15191,732
26/5/2020,France,145279,2166,65199,28432,1434,21,1845,300
26/5/2020,Iran,137724,1653,107713,7451,10775,130,8905,268
26/5/2020,Peru,123979,3858,50949,3629,19959,621,8981,605
26/5/2020,Canada,85710,2257,44638,6545,5154,136,3540,482
26/5/2020,Mainland China,82992,59,78277,4634,25,0,28,0
26/5/2020,Saudi Arabia,74795,2186,45668,399,12250,358,12190,60
26/5/2020,Chile,73997,3873,29302,761,20381,1067,6798,217
26/5/2020,Mexico,71105,562,49890,7633,14511,115,11014,1543
26/5/2020,Pakistan,57705,263,18314,1197,9614,44,4159,180
26/5/2020,Belgium,57455,4985,15320,9334,1220,105,332,148
26/5/2020,Qatar,45465,16549,9363,26,8368,3046,2763,10
26/5/2020,Netherlands,45445,2604,,5830,998,57,,82
26/5/2020,Belarus,38059,4043,15086,208,4688,498,3029,23
26/5/2020,Ecuador,37355,2140,3560,3203,2501,143,24,315
26/5/2020,Bangladesh,35585,211,7334,501,8847,52,2127,115
26/5/2020,Sweden,33843,3275,4971,4029,2320,224,0,198
26/5/2020,Singapore,31960,5603,15738,23,2148,376,3621,0
26/5/2020,Portugal,30788,2996,17822,1333,1128,110,11370,70
26/5/2020,Switzerland,30761,3582,28200,1648,103,12,400,18
26/5/2020,United Arab Emirates,30307,3064,15657,248,4303,435,3848,15
26/5/2020,Ireland,24698,5018,21060,1606,383,77,1590,35
26/5/2020,South Africa,23615,402,11917,481,5612,96,3967,142
26/5/2020,Indonesia,23165,87,5877,1418,3003,11,1039,140
26/5/2020,Colombia,21981,445,5265,750,4294,87,1009,120
26/5/2020,Kuwait,21967,4970,6621,165,4399,995,1736,41
26/5/2020,Poland,21631,564,9276,1007,1488,39,824,35
26/5/2020,Ukraine,21584,515,7575,644,1878,44,1348,65
26/5/2020,Romania,18283,942,11630,1193,896,46,1274,52
26/5/2020,Egypt,17967,179,4900,783,3738,37,906,103
26/5/2020,Israel,16743,1824,14362,281,76,8,858,2
26/5/2020,Japan,16628,132,13612,851,195,2,1326,67
26/5/2020,Austria,16459,1849,15138,641,140,16,256,8
26/5/2020,Dominican Republic,15073,1455,8285,460,1596,154,1143,14
26/5/2020,Philippines,14669,135,3412,886,1235,11,412,40
26/5/2020,Argentina,12615,281,3986,467,3345,75,1066,64
26/5/2020,Denmark,11387,1956,9964,563,270,47,428,9
26/5/2020,South Korea,11225,217,10275,269,103,2,140,5
26/5/2020,Serbia,11193,1607,5920,239,360,51,853,4
26/5/2020,Panama,11183,2651,6279,310,1206,286,85,23
26/5/2020,Afghanistan,11173,347,1097,219,2497,78,159,26
26/5/2020,Bahrain,9171,5942,4753,14,1283,831,1185,2
26/5/2020,Czechia,9002,842,6182,317,281,26,352,13
26/5/2020,Kazakhstan,8969,480,4515,35,1735,93,738,0
26/5/2020,Algeria,8503,198,4747,609,775,18,685,34
26/5/2020,Norway,8364,1558,7727,235,83,15,-272,1
26/5/2020,Nigeria,8068,39,2311,233,1391,7,471,33
26/5/2020,Oman,7770,1666,1933,36,1400,300,112,6
26/5/2020,Malaysia,7604,232,6041,115,545,16,245,1
26/5/2020,Morocco,7532,210,4774,200,399,11,676,6
26/5/2020,Moldova,7147,2665,3802,261,594,221,1249,33
26/5/2020,Australia,7116,277,6532,102,39,1,88,2
26/5/2020,Armenia,7113,2405,3145,87,1842,623,726,20
26/5/2020,Ghana,6808,225,2080,32,539,18,182,1
26/5/2020,Finland,6599,1194,4800,307,156,28,0,3
26/5/2020,Bolivia,6263,546,629,250,1344,117,96,51
26/5/2020,Cameroon,4890,184,1865,165,1157,43,270,19
26/5/2020,Iraq,4632,118,2811,163,908,23,373,29
26/5/2020,Azerbaijan,4271,424,2741,51,640,63,488,8
26/5/2020,Luxembourg,3993,6504,3781,110,22,35,53,1
26/5/2020,Honduras,3950,431,468,180,995,108,119,33
26/5/2020,Sudan,3820,90,458,165,1092,26,172,54
26/5/2020,Hungary,3771,386,1836,499,130,13,327,26
26/5/2020,Guatemala,3424,206,258,58,1159,70,99,13
26/5/2020,Guinea,3275,268,1673,20,412,34,148,2
26/5/2020,Uzbekistan,3261,96,2607,13,311,9,200,0
26/5/2020,Senegal,3130,193,1515,39,416,26,329,9
26/5/2020,Tajikistan,3100,340,1395,46,960,106,754,5
26/5/2020,Thailand,3042,46,2928,57,5,0,31,1
26/5/2020,Greece,2882,269,1374,172,32,3,0,6
26/5/2020,Djibouti,2468,2289,1079,14,640,594,27,5
26/5/2020,Bulgaria,2433,348,862,130,141,21,178,14
26/5/2020,Côte d'Ivoire,2423,94,1257,30,192,8,174,1
26/5/2020,Bosnia and Herzegovina,2406,729,1696,146,68,21,139,10
26/5/2020,Democratic Republic of the Congo,2296,26,337,67,566,7,35,6
26/5/2020,Croatia,2244,551,2035,100,10,3,57,4
26/5/2020,Gabon,2135,983,462,14,568,262,97,2
26/5/2020,North Macedonia,1999,962,1439,113,141,67,72,3
26/5/2020,El Salvador,1983,306,598,35,412,64,61,4
26/5/2020,Cuba,1947,174,1704,82,47,5,131,3
26/5/2020,Estonia,1824,1373,1538,65,30,22,582,1
26/5/2020,Iceland,1804,4953,1791,10,1,3,2,0
26/5/2020,Somalia,1689,106,235,66,116,7,47,5
26/5/2020,Lithuania,1639,587,1165,65,62,22,116,5
26/5/2020,Mayotte,1587,6937,,20,168,735,,1
26/5/2020,Slovakia,1511,277,1307,28,15,3,76,0
26/5/2020,Slovenia,1469,702,1340,107,1,1,0,2
26/5/2020,Kyrgyzstan,1468,225,1015,16,198,31,105,2
26/5/2020,Maldives,1395,3722,144,4,209,557,53,0
26/5/2020,Kenya,1286,27,402,52,177,4,27,2
26/5/2020,Sri Lanka,1182,54,695,10,154,7,111,1
26/5/2020,Guinea-Bissau,1178,734,42,7,89,55,0,1
26/5/2020,Venezuela,1177,37,302,10,353,11,40,0
26/5/2020,New Zealand,1154,232,1461,21,1,0,9,0
26/5/2020,Lebanon,1119,164,688,26,158,23,437,0
26/5/2020,Hong Kong,1066,142,1030,4,10,1,4,0
26/5/2020,Mali,1059,53,604,67,128,6,61,14
26/5/2020,Tunisia,1051,90,917,48,6,1,55,1
26/5/2020,Latvia,1049,550,712,22,33,17,18,1
26/5/2020,Equatorial Guinea,1043,768,165,12,153,113,143,5
26/5/2020,Kosovo,1032,575,785,29,43,24,16,0
26/5/2020,Albania,1004,353,795,32,40,14,37,1
26/5/2020,Haiti,958,83,22,27,362,32,1,5
26/5/2020,Costa Rica,951,188,628,10,54,11,46,0
26/5/2020,Niger,951,43,786,62,31,2,48,4
