date,country,confirmed,cases_per_million,recovered,deaths,new_confirmed,new_cases_per_million,new_deaths,new_recovered
2020-05-27,United States,1715789.0,5206.0,360824.0,100163.0,18428.0,56.0,701.0,7840.0
2020-05-27,Brazil,392360.0,1857.0,158593.0,24549.0,15691.0,75.0,1027.0,4760.0
2020-05-27,Russia,362342.0,2469.0,131129.0,3807.0,0.0,0.0,0.0,0.0
2020-05-27,United Kingdom,265227.0,3992.0,,37048.0,4043.0,61.0,134.0,
2020-05-27,Spain,236529.0,5022.0,150376.0,27117.0,1129.0,24.0,283.0,0.0
2020-05-27,Italy,230555.0,3827.0,144658.0,32955.0,397.0,7.0,78.0,2677.0
2020-05-27,Germany,181288.0,2180.0,163681.0,8498.0,499.0,6.0,70.0,1033.0
2020-05-27,Turkey,158762.0,1909.0,121507.0,4397.0,948.0,11.0,28.0,1492.0
2020-05-27,France,145555.0,2170.0,65879.0,28530.0,276.0,4.0,98.0,680.0
2020-05-27,India,145380.0,107.0,60491.0,4167.0,0.0,0.0,0.0,0.0
2020-05-27,Iran,139511.0,1674.0,109437.0,7508.0,1787.0,21.0,57.0,1724.0
2020-05-27,Peru,129751.0,4038.0,52906.0,3788.0,5772.0,180.0,159.0,1957.0
2020-05-27,Canada,86647.0,2281.0,45339.0,6639.0,937.0,24.0,94.0,701.0
2020-05-27,Mainland China,82992.0,59.0,78277.0,4634.0,0.0,0.0,0.0,0.0
2020-05-27,Chile,77961.0,4080.0,30915.0,806.0,3964.0,207.0,45.0,1613.0
2020-05-27,Saudi Arabia,76726.0,2242.0,48450.0,411.0,1931.0,56.0,12.0,2782.0
2020-05-27,Mexico,74560.0,589.0,52219.0,8134.0,3455.0,27.0,501.0,2329.0
2020-05-27,Pakistan,57705.0,263.0,18314.0,1197.0,0.0,0.0,0.0,0.0
2020-05-27,Belgium,57455.0,4985.0,15320.0,9334.0,0.0,0.0,0.0,0.0
2020-05-27,Qatar,47207.0,17183.0,11844.0,28.0,1742.0,634.0,2.0,2481.0
2020-05-27,Netherlands,45578.0,2612.0,,5856.0,133.0,8.0,26.0,
2020-05-27,Belarus,38059.0,4043.0,15086.0,208.0,0.0,0.0,0.0,0.0
2020-05-27,Ecuador,37355.0,2140.0,3560.0,3203.0,0.0,0.0,0.0,0.0
2020-05-27,Bangladesh,36751.0,218.0,7579.0,522.0,1166.0,7.0,21.0,245.0
2020-05-27,Sweden,34440.0,3333.0,4971.0,4125.0,597.0,58.0,96.0,0.0
2020-05-27,Singapore,32343.0,5671.0,16444.0,23.0,383.0,68.0,0.0,706.0
2020-05-27,United Arab Emirates,31086.0,3143.0,15982.0,253.0,779.0,79.0,5.0,325.0
2020-05-27,Portugal,31007.0,3017.0,18096.0,1342.0,219.0,21.0,9.0,274.0
2020-05-27,Switzerland,30761.0,3582.0,28200.0,1648.0,0.0,0.0,0.0,0.0
2020-05-27,Ireland,24735.0,5026.0,21060.0,1615.0,37.0,8.0,9.0,0.0
2020-05-27,South Africa,24264.0,413.0,12741.0,524.0,649.0,11.0,43.0,824.0
2020-05-27,Indonesia,23165.0,87.0,5877.0,1418.0,0.0,0.0,0.0,0.0
2020-05-27,Colombia,23003.0,466.0,5511.0,776.0,1022.0,21.0,26.0,246.0
2020-05-27,Kuwait,22575.0,5107.0,7306.0,172.0,608.0,137.0,7.0,685.0
2020-05-27,Poland,22074.0,575.0,10020.0,1024.0,443.0,11.0,17.0,744.0
2020-05-27,Ukraine,21584.0,515.0,7575.0,644.0,0.0,0.0,0.0,0.0
2020-05-27,Egypt,18756.0,187.0,5027.0,797.0,789.0,8.0,14.0,127.0
2020-05-27,Romania,18429.0,950.0,11874.0,1210.0,146.0,8.0,17.0,244.0
2020-05-27,Israel,16743.0,1824.0,14362.0,281.0,0.0,0.0,0.0,0.0
