date,location,new_cases,new_deaths,total_cases,total_deaths
2020-04-10,Afghanistan,61,1,484,15
2020-04-11,Afghanistan,37,0,521,15
2020-04-10,Albania,9,1,409,23
2020-04-11,Albania,7,0,416,23
2020-04-10,Algeria,94,30,1666,235
2020-04-11,Algeria,95,21,1761,256
2020-04-10,Andorra,19,2,583,25
2020-04-11,Andorra,18,1,601,26
2020-04-10,Angola,0,0,19,2
2020-04-11,Angola,0,0,19,2
2020-04-10,Anguilla,0,0,3,0
2020-04-11,Anguilla,0,0,3,0
2020-04-10,Antigua and Barbuda,4,2,19,2
2020-04-11,Antigua and Barbuda,2,0,21,2
2020-04-10,Argentina,99,14,1894,79
2020-04-11,Argentina,81,3,1975,82
2020-04-10,Armenia,40,1,921,10
2020-04-11,Armenia,16,1,937,11
2020-04-10,Aruba,5,0,82,0
2020-04-11,Aruba,4,0,86,0
2020-04-10,Australia,100,2,6152,52
2020-04-11,Australia,86,2,6238,54
2020-04-10,Austria,279,22,13248,295
2020-04-11,Austria,312,24,13560,319
2020-04-10,Azerbaijan,104,1,926,9
2020-04-11,Azerbaijan,65,1,991,10
2020-04-10,Bahamas,1,1,41,8
2020-04-11,Bahamas,1,0,42,8
2020-04-10,Bahrain,64,0,887,5
2020-04-11,Bahrain,111,1,998,6
2020-04-10,Bangladesh,112,1,330,21
2020-04-11,Bangladesh,94,6,424,27
2020-04-10,Barbados,3,0,66,3
2020-04-11,Barbados,1,1,67,4
2020-04-10,Belarus,420,3,1486,16
2020-04-11,Belarus,495,3,1981,19
2020-04-10,Belgium,1580,283,24983,2523
2020-04-11,Belgium,1684,496,26667,3019
2020-04-10,Belize,1,0,9,1
2020-04-11,Belize,1,1,10,2
2020-04-10,Benin,4,0,30,1
2020-04-11,Benin,5,0,35,1
2020-04-10,Bermuda,9,1,48,4
2020-04-11,Bermuda,0,0,48,4
2020-04-10,Bhutan,0,0,5,0
2020-04-11,Bhutan,0,0,5,0
2020-04-10,Bolivia,4,1,268,19
2020-04-11,Bolivia,8,1,276,20
2020-04-10,Bonaire Sint Eustatius and Saba,0,0,2,0
2020-04-11,Bonaire Sint Eustatius and Saba,0,0,2,0
2020-04-10,Bosnia and Herzegovina,59,1,875,36
2020-04-11,Bosnia and Herzegovina,26,1,901,37
2020-04-10,Botswana,6,0,13,1
2020-04-11,Botswana,0,0,13,1
2020-04-10,Brazil,1930,141,17857,941
2020-04-11,Brazil,1781,115,19638,1056
2020-04-10,British Virgin Islands,0,0,3,0
2020-04-11,British Virgin Islands,0,0,3,0
2020-04-10,Brunei,0,0,135,1
2020-04-11,Brunei,1,0,136,1
2020-04-10,Bulgaria,31,0,624,24
2020-04-11,Bulgaria,11,1,635,25
2020-04-10,Burkina Faso,29,1,443,24
2020-04-11,Burkina Faso,5,2,448,26
2020-04-10,Burundi,0,0,3,0
2020-04-11,Burundi,0,0,3,0
2020-04-10,Cambodia,1,0,119,0
2020-04-11,Cambodia,1,0,120,0
2020-04-10,Cameroon,0,0,730,10
2020-04-11,Cameroon,73,0,803,10
2020-04-10,Canada,1474,74,20748,509
