number_of_new_cases_per_day,total_cases,cases_in_ICU,percentage_patients_in_ICU,total_patients_recovered,percentage_patients_recovered,total_deaths,percentage_death,attributes.Jumlah_Kasus_Sembuh_per_Hari,attributes.Jumlah_Kasus_Meninggal_per_Hari,attributes.Jumlah_Kasus_Dirawat_per_Hari,last_updated_date
2,2,2,100,0,0,0,0,0,0,0,2020-03-02
0,2,2,100,0,0,0,0,0,0,0,2020-03-03
0,2,2,100,0,0,0,0,0,0,0,2020-03-04
0,2,2,100,0,0,0,0,0,0,0,2020-03-05
2,4,4,100,0,0,0,0,0,0,2,2020-03-06
0,4,4,100,0,0,0,0,0,0,0,2020-03-07
2,6,6,100,0,0,0,0,0,0,2,2020-03-08
13,19,19,100,0,0,0,0,0,0,13,2020-03-09
8,27,25,92.59259259,2,7.407407407,0,0,2,0,6,2020-03-10
7,34,31,91.17647059,2,5.882352941,1,2.941176471,0,1,6,2020-03-11
0,34,31,91.17647059,2,5.882352941,1,2.941176471,0,0,0,2020-03-12
35,69,63,91.30434783,2,2.898550725,4,5.797101449,0,3,32,2020-03-13
27,96,83,86.45833333,8,8.333333333,5,5.208333333,6,1,20,2020-03-14
21,117,104,88.88888889,8,6.837606838,5,4.273504274,0,0,21,2020-03-15
17,134,121,90.29850746,8,5.970149254,5,3.731343284,0,0,17,2020-03-16
38,172,158,91.86046512,9,5.23255814,5,2.906976744,1,0,37,2020-03-17
55,227,197,86.78414097,11,4.845814978,19,8.370044053,2,14,39,2020-03-18
81,308,268,87.01298701,15,4.87012987,25,8.116883117,4,6,71,2020-03-19
61,369,320,86.72086721,17,4.60704607,32,8.672086721,2,7,52,2020-03-20
81,450,392,87.11111111,20,4.444444444,38,8.444444444,3,6,72,2020-03-21
64,514,437,85.01945525,29,5.642023346,48,9.338521401,9,10,45,2020-03-22
65,579,500,86.35578584,30,5.18134715,49,8.462867012,1,1,63,2020-03-23
106,685,600,87.59124088,30,4.379562044,55,8.02919708,0,6,100,2020-03-24
105,790,701,88.73417722,31,3.924050633,58,7.341772152,1,3,101,2020-03-25
103,893,780,87.34602464,35,3.9193729,78,8.734602464,4,20,79,2020-03-26
153,1046,913,87.28489484,46,4.397705545,87,8.317399618,11,9,133,2020-03-27
109,1155,994,86.06060606,59,5.108225108,102,8.831168831,13,15,81,2020-03-28
130,1285,1107,86.14785992,64,4.980544747,114,8.871595331,5,12,113,2020-03-29
129,1414,1217,86.0678925,75,5.304101839,122,8.628005658,11,8,110,2020-03-30
114,1528,1311,85.79842932,81,5.30104712,136,8.90052356,6,14,94,2020-03-31
149,1677,1417,84.49612403,103,6.141920095,157,9.361955874,22,21,106,2020-04-01
113,1790,1508,84.24581006,112,6.25698324,170,9.497206704,9,13,91,2020-04-02
196,1986,1671,84.13897281,134,6.747230614,181,9.113796576,22,11,163,2020-04-03
106,2092,1751,83.6998088,150,7.170172084,191,9.13001912,16,10,80,2020-04-04
181,2273,1911,84.07391113,164,7.215134184,198,8.710954685,14,7,160,2020-04-05
218,2491,2090,83.90204737,192,7.707747892,209,8.390204737,28,11,179,2020-04-06
247,2738,2313,84.47772096,204,7.450693937,221,8.071585099,12,12,223,2020-04-07
218,2956,2494,84.37077131,222,7.51014885,240,8.119079838,18,19,181,2020-04-08
337,3293,2761,83.84451868,252,7.652596417,280,8.502884907,30,40,267,2020-04-09
219,3512,2924,83.25740319,282,8.029612756,306,8.712984055,30,26,163,2020-04-10
330,3842,3229,84.04476835,286,7.444039563,327,8.511192087,4,21,305,2020-04-11
399,4241,3509,82.73991983,359,8.464984673,373,8.795095496,73,46,280,2020-04-12
