last_updated,total_cases,new_cases,total_cases_in_icu,percentage_in_icu,total_recovered,percentage_recovered,total_deaths,percentage_death,recovered_cases	,new_death,new_cases_in_icu
2020-03-02,2,2,2,100,0,0,0,0,0,0,2
2020-03-03,2,0,2,100,0,0,0,0,0,0,0
2020-03-04,2,0,2,100,0,0,0,0,0,0,0
2020-03-05,2,0,2,100,0,0,0,0,0,0,0
2020-03-06,4,2,4,100,0,0,0,0,0,0,2
2020-03-07,4,0,4,100,0,0,0,0,0,0,0
2020-03-08,6,2,6,100,0,0,0,0,0,0,2
2020-03-09,19,13,19,100,0,0,0,0,0,0,13
2020-03-10,27,8,25,92.59259259,2,7.407407407,0,0,2,0,6
2020-03-11,34,7,31,91.17647059,2,5.882352941,1,2.941176471,0,1,6
2020-03-12,34,0,31,91.17647059,2,5.882352941,1,2.941176471,0,0,0
2020-03-13,69,35,63,91.30434783,2,2.898550725,4,5.797101449,0,3,32
2020-03-14,96,27,83,86.45833333,8,8.333333333,5,5.208333333,6,1,20
2020-03-15,117,21,104,88.88888889,8,6.837606838,5,4.273504274,0,0,21
2020-03-16,134,17,121,90.29850746,8,5.970149254,5,3.731343284,0,0,17
2020-03-17,172,38,158,91.86046512,9,5.23255814,5,2.906976744,1,0,37
2020-03-18,227,55,197,86.78414097,11,4.845814978,19,8.370044053,2,14,39
2020-03-19,309,82,269,87.05501618,15,4.854368932,25,8.090614887,4,6,72
2020-03-20,369,60,320,86.72086721,17,4.60704607,32,8.672086721,2,7,51
2020-03-21,450,81,392,87.11111111,20,4.444444444,38,8.444444444,3,6,72
2020-03-22,514,64,437,85.01945525,29,5.642023346,48,9.338521401,9,10,45
2020-03-23,579,65,500,86.35578584,30,5.18134715,49,8.462867012,1,1,63
2020-03-24,686,106,601,87.60932945,30,4.373177843,55,8.017492711,0,6,101
2020-03-25,790,105,701,88.73417722,31,3.924050633,58,7.341772152,1,3,100
2020-03-26,893,103,780,87.34602464,35,3.9193729,78,8.734602464,4,20,79
2020-03-27,1046,153,913,87.28489484,46,4.397705545,87,8.317399618,11,9,133
2020-03-28,1155,109,994,86.06060606,59,5.108225108,102,8.831168831,13,15,81
2020-03-29,1285,130,1107,86.14785992,64,4.980544747,114,8.871595331,5,12,113
2020-03-30,1414,129,1217,86.0678925,75,5.304101839,122,8.628005658,11,8,110
2020-03-31,1528,114,1311,85.79842932,81,5.30104712,136,8.90052356,6,14,94
2020-04-01,1677,149,1417,84.49612403,103,6.141920095,157,9.361955874,22,21,106
2020-04-02,1790,113,1508,84.24581006,112,6.25698324,170,9.497206704,9,13,91
2020-04-03,1986,196,1671,84.13897281,134,6.747230614,181,9.113796576,22,11,163
2020-04-04,2092,106,1751,83.6998088,150,7.170172084,191,9.13001912,16,10,80
2020-04-05,2273,181,1911,84.07391113,164,7.215134184,198,8.710954685,14,7,160
2020-04-06,2491,218,2090,83.90204737,192,7.707747892,209,8.390204737,28,11,179
2020-04-07,2738,247,2313,84.47772096,204,7.450693937,221,8.071585099,12,12,223
2020-04-08,2956,218,2494,84.37077131,222,7.51014885,240,8.119079838,18,19,181
2020-04-09,3293,337,2761,83.84451868,252,7.652596417,280,8.502884907,30,40,267
2020-04-10,3512,219,2924,83.25740319,282,8.029612756,306,8.712984055,30,26,163
2020-04-11,3842,330,3229,84.04476835,286,7.444039563,327,8.511192087,4,21,305
2020-04-12,4241,399,3509,82.73991983,359,8.464984673,373,8.795095496,73,46,280
2020-04-13,4557,316,3778,82.90542023,380,8.338819399,399,8.755760369,21,26,269
2020-04-14,4839,282,3954,81.71109733,426,8.803471792,459,9.485430874,46,60,176
2020-04-15,5136,297,4221,82.18457944,446,8.683800623,469,9.131619938,20,10,267
2020-04-16,5516,380,4472,81.07324148,548,9.934735315,496,8.992023205,102,27,251
2020-04-17,5923,407,4796,80.97248016,607,10.24818504,520,8.779334797,59,24,324
2020-04-18,6248,325,5082,81.33802817,631,10.09923175,535,8.562740077,24,15,286
2020-04-19,6575,327,5307,80.7148289,686,10.43346008,582,8.851711027,55,47,225
