last_updated,provinces,cases,recovered,death,lat,long
2020-04-15,Aceh,5,4,1,4.225081892,96.90952275
2020-04-15,Sumatera Utara,78,10,9,2.184779215,99.05788785
2020-04-15,Sumatera Barat,55,8,4,-0.851914348,100.466805
2020-04-15,Riau,20,1,0,0.510525849,101.812892
2020-04-15,Jambi,6,0,0,-1.61775,103.59932
2020-04-15,Sumatera Selatan,22,4,2,-3.213346822,104.1704194
2020-04-15,Bengkulu,4,0,1,-3.79116,102.26312
2020-04-15,Kepulauan Bangka Belitung,5,0,1,-2.252956411,105.9869481
2020-04-15,Lampung,20,1,5,-4.918073087,105.0183131
2020-04-15,Kepulauan Riau,32,2,5,3.915947241,108.2022289
2020-04-15,DKI Jakarta,2474,164,242,-6.17148,106.82649
2020-04-15,Jawa Barat,559,23,52,-6.919980216,107.6028079
2020-04-15,Jawa Tengah,292,19,27,-7.258970383,110.2011125
2020-04-15,Daerah Istimewa Yogyakarta,62,18,7,-7.895013815,110.445367
2020-04-15,Jawa Timur,499,81,45,-7.720113019,112.7336788
2020-04-15,Banten,281,7,25,-6.456181599,106.1091971
2020-04-15,Bali,98,23,2,-8.369743261,115.131651
2020-04-15,Nusa Tenggara Barat,37,2,2,-8.606652084,117.5068625
2020-04-15,Nusa Tenggara Timur,1,0,0,-8.604843332,121.1418292
2020-04-15,Kalimantan Barat,13,5,3,-0.085901234,111.1207624
2020-04-15,Kalimantan Tengah,33,8,2,-1.634340045,113.1810479
2020-04-15,Kalimantan Selatan,49,3,6,-2.449779137,115.3113078
2020-04-15,Kalimantan Timur,35,6,1,0.461046227,116.4708584
2020-04-15,Kalimantan Utara,20,1,1,2.888820961,116.2167183
2020-04-15,Sulawesi Utara,18,2,2,1.286097687,124.5353788
2020-04-15,Sulawesi Tengah,22,2,3,-1.459214954,120.4495925
2020-04-15,Sulawesi Selatan,242,42,15,-3.747115712,120.1611577
2020-04-15,Sulawesi Tenggara,24,1,1,-4.132803971,122.0786781
2020-04-15,Gorontalo,1,0,0,0.53707,123.06184
2020-04-15,Sulawesi Barat,7,1,1,-2.461902015,119.3434714
2020-04-15,Maluku,14,1,0,-3.126119343,129.360425
2020-04-15,Maluku Utara,4,2,0,0.869337001,128.0159294
2020-04-15,Papua,75,5,3,-5,140
2020-04-15,Papua Barat,2,0,1,-2.041723282,132.9683417
2020-04-15,Indonesia,27,0,0,-0.989818182,113.915865
