infected_place,ip_lat,ip_lon
13 Senoko Way,1.4664,103.8126
21B Senoko Loop,1.4563,103.7976
31 Sungei Kadut Avenue,1.4074,103.7536
36 Woodlands Industrial Park E1,1.4544,103.7973
55 Sungei Kadut Loop,1.4096,103.7439
6 Battery Road,1.2856,103.852
85 Kallang Dormitory,1.3104,103.8666
ABC Hostel,1.3038,103.8594
Acacia Lodge,1.3402,103.7559
Black Tap,1.283,103.8579
boulder+ Gym,1.2913,103.8501
Cassia @ Penjuru,1.318007,103.731954
Ce La Vi,1.283,103.8579
Church of Singapore,1.3445,103.7754
Church Singapore Bukit Timah B Hindhede Road (Bukit Timah) (2B Hindhede Road),1.3445,103.7754
CitiWall,1.3359,103.9075
Cochrane Lodge I,1.459837,103.820099
Cochrane Lodge II,1.4613,103.8184
Dormitory at 55 Sungei Kadut Loop,1.4096,103.7439
Dover Court International School,1.3056,103.7791
Grace Assembly of God,1.2943,103.8163
Grand Hyatt Singapore,1.3065,103.8333
Gym Kallang Avenue (12 Kallang Avenue),1.311579,103.863384
Hero,1.286494,103.849111
ICA Building,1.306555,103.862644
Keppel Shipyard,1.2999,103.655
Kranji Lodge,1.43175,103.759851
Lee Ah Mooi Old Age Home,1.3303,103.8402
Little Gems Preschool,1.3855,103.8458
Masjid Al-Muttaqin,1.370588583,103.8461564
Masjid Al Muttaqin Ang Mo Kio Avenue (5140 Ang Mo Kio Avenue 6),1.370588583,103.8461564
Maxwell MRT station,1.2803,103.8439
McDonald’s,,
Mustafa Centre,1.30972,103.85583
North Coast Lodge,1.456117,103.787348
National University Hospital,1.2947,103.7829
The Orange Ballroom,1.3168,103.8943
PCF Sparkletots Preschool,1.3282,103.9387
Project Glory,1.284,103.8503
S11 Dormitory @ Punggol,1.416621,103.895362
SAFRA Jurong,1.3351,103.7063
Seletar Aerospace Heights construction site,1.420181,103.864555
Shaw Lodge,1.33715,103.884141
Singapore Cricket Club,1.2888,103.852
SingPost Centre,1.319,103.8944
Sungei Kadut Tenda Dormitory,1.414586,103.743979
Sungei Tengah Lodge,1.378509,103.718493
Tampines Dormitory,1.3667,103.9295
Tech Park Crescent dormitory,1.3094,103.6297
Life Church and Missions Singapore,1.328,103.8907
Life Church Missions Singapore B Paya Lebar Road (146B Paya Lebar Road),1.328,103.8907
The Wedding Brocade,1.438455,103.84338
Toh Guan Dormitory,1.3381,103.7531
Westlite Toh Guan dormitory,1.335818,103.751468
Westlite Woodlands dormitory,1.461549,103.809509
Wilby Residences,1.33219,103.788394
Wizlearn Technologies Pte Ltd,1.290727,103.785807
Yong Thai Hang,1.3109,103.8617
Tuas View Dormitory,1.313828,103.625735
Kranji Dormitory,1.431693,103.759855
Kenyon/ UBS construction site,1.297916,103.845226
