attributes.Hari_ke,attributes.Tanggal,attributes.Jumlah_Kasus_Baru_per_Hari,attributes.Jumlah_Kasus_Kumulatif,attributes.Jumlah_pasien_dalam_perawatan,attributes.Persentase_Pasien_dalam_Perawatan,attributes.Jumlah_Pasien_Sembuh,attributes.Persentase_Pasien_Sembuh,attributes.Jumlah_Pasien_Meninggal,attributes.Persentase_Pasien_Meninggal,attributes.Jumlah_Kasus_Sembuh_per_Hari,attributes.Jumlah_Kasus_Meninggal_per_Hari,attributes.Jumlah_Kasus_Dirawat_per_Hari,attributes.Kasus_Sedang_Investigasi_Lapangan,attributes.Pembaruan_Terakhir,date
1,1583107200000,2,2,2,100,0,0,0,0,0,0,0,35,1586533162000,2020-03-02
2,1583193600000,0,2,2,100,0,0,0,0,0,0,0,NA,NA,2020-03-03
3,1583280000000,0,2,2,100,0,0,0,0,0,0,0,NA,NA,2020-03-04
4,1583366400000,0,2,2,100,0,0,0,0,0,0,0,NA,NA,2020-03-05
5,1583452800000,2,4,4,100,0,0,0,0,0,0,2,NA,NA,2020-03-06
6,1583539200000,0,4,4,100,0,0,0,0,0,0,0,NA,NA,2020-03-07
7,1583625600000,2,6,6,100,0,0,0,0,0,0,2,NA,NA,2020-03-08
8,1583712000000,13,19,19,100,0,0,0,0,0,0,13,NA,NA,2020-03-09
9,1583798400000,8,27,25,92.59259259,2,7.407407407,0,0,2,0,6,NA,NA,2020-03-10
10,1583884800000,7,34,31,91.17647059,2,5.882352941,1,2.941176471,0,1,6,NA,NA,2020-03-11
11,1583971200000,0,34,31,91.17647059,2,5.882352941,1,2.941176471,0,0,0,NA,NA,2020-03-12
12,1584057600000,35,69,63,91.30434783,2,2.898550725,4,5.797101449,0,3,32,NA,NA,2020-03-13
13,1584144000000,27,96,83,86.45833333,8,8.333333333,5,5.208333333,6,1,20,NA,NA,2020-03-14
14,1584230400000,21,117,104,88.88888889,8,6.837606838,5,4.273504274,0,0,21,NA,NA,2020-03-15
15,1584316800000,17,134,121,90.29850746,8,5.970149254,5,3.731343284,0,0,17,NA,NA,2020-03-16
16,1584403200000,38,172,158,91.86046512,9,5.23255814,5,2.906976744,1,0,37,NA,NA,2020-03-17
17,1584489600000,55,227,197,86.78414097,11,4.845814978,19,8.370044053,2,14,39,NA,NA,2020-03-18
18,1584576000000,81,308,268,87.01298701,15,4.87012987,25,8.116883117,4,6,71,NA,NA,2020-03-19
19,1584662400000,61,369,320,86.72086721,17,4.60704607,32,8.672086721,2,7,52,NA,NA,2020-03-20
20,1584748800000,81,450,392,87.11111111,20,4.444444444,38,8.444444444,3,6,72,NA,NA,2020-03-21
21,1584835200000,64,514,437,85.01945525,29,5.642023346,48,9.338521401,9,10,45,NA,NA,2020-03-22
22,1584921600000,65,579,500,86.35578584,30,5.18134715,49,8.462867012,1,1,63,NA,NA,2020-03-23
23,1585008000000,106,685,600,87.59124088,30,4.379562044,55,8.02919708,0,6,100,NA,NA,2020-03-24
24,1585094400000,105,790,701,88.73417722,31,3.924050633,58,7.341772152,1,3,101,NA,NA,2020-03-25
25,1585180800000,103,893,780,87.34602464,35,3.9193729,78,8.734602464,4,20,79,NA,NA,2020-03-26
26,1585267200000,153,1046,913,87.28489484,46,4.397705545,87,8.317399618,11,9,133,NA,NA,2020-03-27
27,1585353600000,109,1155,994,86.06060606,59,5.108225108,102,8.831168831,13,15,81,NA,NA,2020-03-28
28,1585440000000,130,1285,1107,86.14785992,64,4.980544747,114,8.871595331,5,12,113,NA,NA,2020-03-29
29,1585526400000,129,1414,1217,86.0678925,75,5.304101839,122,8.628005658,11,8,110,NA,NA,2020-03-30
30,1585612800000,114,1528,1311,85.79842932,81,5.30104712,136,8.90052356,6,14,94,NA,NA,2020-03-31
31,1585699200000,149,1677,1417,84.49612403,103,6.141920095,157,9.361955874,22,21,106,NA,NA,2020-04-01
32,1585785600000,113,1790,1508,84.24581006,112,6.25698324,170,9.497206704,9,13,91,NA,NA,2020-04-02
33,1585872000000,196,1986,1671,84.13897281,134,6.747230614,181,9.113796576,22,11,163,NA,NA,2020-04-03
34,1585958400000,106,2092,1751,83.6998088,150,7.170172084,191,9.13001912,16,10,80,NA,NA,2020-04-04
35,1586044800000,181,2273,1911,84.07391113,164,7.215134184,198,8.710954685,14,7,160,NA,NA,2020-04-05
36,1586131200000,218,2491,2090,83.90204737,192,7.707747892,209,8.390204737,28,11,179,NA,NA,2020-04-06
37,1586217600000,247,2738,2313,84.47772096,204,7.450693937,221,8.071585099,12,12,223,NA,NA,2020-04-07
38,1586304000000,218,2956,2494,84.37077131,222,7.51014885,240,8.119079838,18,19,181,NA,NA,2020-04-08
39,1586390400000,337,3293,2761,83.84451868,252,7.652596417,280,8.502884907,30,40,267,NA,NA,2020-04-09
40,1586476800000,219,3512,2924,83.25740319,282,8.029612756,306,8.712984055,30,26,163,NA,NA,2020-04-10
41,1586563200000,330,3842,3229,84.04476835,286,7.444039563,327,8.511192087,4,21,305,NA,NA,2020-04-11
